獎品編號,獎別,獎品內容,數量,是否為大獎,抽獎方式
a010,CEO 最大獎,現金 200000 元,1,1,2
a011,驚喜歡樂無限加碼獎,,1,1,3
a020,CEO 夫人獎,現金 100000 元,2,1,1
a030,副總經理獎,現金 80000元,1,,1
a100,董事長獎,新光三越禮券 80000 元,1,1,1
a110,總經理獎,新光三越禮券 50000元,1,1,1
a120,北區總經理獎,新光三越禮券 36000 元,1,,1
a130,中區總經理獎,新光三越禮券 36000 元,1,,1
a140,南區總經理獎,新光三越禮券 36000 元,1,,1
a150,東區總經理獎,新光三越禮券 36000 元,1,,1
a200,第一營業處處經理獎,新光三越禮券 30000 元,1,,1
a210,第二營業處處經理獎,新光三越禮券 30000 元,1,,1
a220,第三營業處處經理獎,新光三越禮券 30000 元,1,,1
a230,第四營業處處經理獎,新光三越禮券 30000 元,1,,1
a240,第五營業處處經理獎,新光三越禮券 30000 元,1,,1
a250,第六營業處處經理獎,新光三越禮券 30000 元,1,,1
a260,第七營業處處經理獎,新光三越禮券 50000 元,1,,1
a270,天使投資人獎,現金 50000 元,1,,1
a280,機密事務部部長獎,秘密獎品+現金 20000 元,1,,1
a290,金融營業處處經理獎,現金 20000 元+公司配股 1000 股,1,,1
a300,工會理事長獎,現金 20000 元,1,,1
a310,工會常務監事獎,現金 20000 元,1,,1
a320,北區業務理事長獎,SOGO 禮券券 20000 元,1,,1
a330,中區業務理事長獎,薇閣住宿券 20 張,1,,1
a340,南區總經理獎,江蕙復出演唱會門票 4 張,1,,1
a350,福委會會長獎,7-11禮券 12000 元,1,,1
a360,企劃部特別企劃獎,香草航空任意航點來回機票兩張,3,,1
a370,大中華區顧問特別獎,王品牛排餐券 10 張,10,,1
a380,媒體公關處處長特別獎,一年期型男美女訓練課程,5,,1
a390,人力資源處處長特別獎,特別休假 20 天(限一年內休畢),1,,1
a400,東南亞營業處處長特別獎,峇里島海景 Villa 五天四夜住宿之旅,1,,1
a410,退休人員員工促進會會長獎,阿里山茶王金萱茶葉 2000 克,228,,1
a500,頭獎,公司配股 5000 股,2,1,1
a510,貳獎,公司配股 3000 股,4,1,1
a520,參獎,公司配股 1000 股,20,,1
a530,肆獎,現金 20000 元,30,,1
a540,伍獎,現金 10000 元,300,,1
a550,普獎,現金 3600 元,500,,1
